cp5,municipio,municipio_consolidado,provincia_consolidada
1240,Alegría-Dulantzi,Alegría-Dulantzi,Álava
2127,Casas de Lázaro,Peñascosa,Albacete
3010,Alicante/Alacant,Alicante/Alacant,Alicante
3316,Benferri,Orihuela,Alicante
3318,Orihuela,Orihuela,Alicante
4531,Alboloduy,Alboloduy,Almería
4540,Nacimiento,Nacimiento,Almería
9217,Condado de Treviño,Condado de Treviño,Burgos
9268,Santa Cruz del Valle Urbión,Rábanos,Burgos
10616,Casas del Castañar,Casas del Castañar,Cáceres
11640,Bornos,Bornos,Cádiz
12489,Sot de Ferrer,Sot de Ferrer,Castellón
13150,Carrión de Calatrava,Carrión de Calatrava,Ciudad Real
13591,Cabezarrubias del Puerto,Cabezarrubias del Puerto,Ciudad Real
15598,San Sadurniño,San Sadurniño,A Coruña
15626,Mugardos,Mugardos,A Coruña
15888,Santiago de Compostela,Santiago de Compostela,A Coruña
16891,Carrascosa,Cañizares,Cuenca
17165,Cellera de Ter,Cellera de Ter,Gerona
17402,Arbúcies,Arbúcies,Gerona
18311,Algarinejo,Loja,Granada
18567,Iznalloz,Iznalloz,Granada
22234,Ballobar,Ballobar,Huesca
24284,Turcia,Turcia,León
24315,Folgoso de la Ribera,Bembibre,León
25244,Fondarella,Fondarella,Lérida
25500,Conca de Dalt,Conca de Dalt,Lérida
25511,Torre de Cabdella,Torre de Cabdella,Lérida
25749,Oliola,Oliola,Lérida
28737,Gascones,Serna del Monte,Madrid
28749,Rascafría,Rascafría,Madrid
29603,Marbella,Marbella,Málaga
29790,Vélez-Málaga,Vélez-Málaga,Málaga
30154,Murcia,Murcia,Murcia
30391,Cartagena,Cartagena,Murcia
30880,Águilas,Águilas,Murcia
31243,Luquin,Igúzquiza,Navarra
31253,Miranda de Arga,Miranda de Arga,Navarra
31415,Roncal/Erronkari,Roncal/Erronkari,Navarra
31698,Esteribar,Esteribar,Navarra
33576,Peñamellera Alta,Peñamellera Alta,Asturias
33827,Grado,Grado,Asturias
34130,Becerril de Campos,Paredes de Nava,Palencia
36143,Pontevedra,Pontevedra,Pontevedra
36636,Ribadumia,Ribadumia,Pontevedra
37186,Aldeatejada,San Pedro de Rozados,Salamanca
37189,Villares de la Reina,Villares de la Reina,Salamanca
37657,Sotoserrano,Sotoserrano,Salamanca
38005,Santa Cruz de Tenerife,Santa Cruz de Tenerife,Santa Cruz de Tenerife
38350,Tacoronte,Tacoronte,Santa Cruz de Tenerife
40540,Encinas,Encinas,Segovia
41319,Alcalá del Río,Alcalá del Río,Sevilla
42191,Rábanos,Rábanos,Soria
42192,Villaciervos,Golmayo,Soria
44155,Camarillas,Ababuj,Teruel
45230,Numancia de la Sagra,Numancia de la Sagra,Toledo
45575,Aldeanueva de San Bartolomé,Aldeanueva de San Bartolomé,Toledo
46640,Mogente/Moixent,Mogente/Moixent,Valencia
47005,Valladolid,Valladolid,Valladolid
47100,Tordesillas,Tordesillas,Valladolid
47129,Torrecilla de la Torre,San Pelayo,Valladolid
47182,Castroverde de Cerrato,Castroverde de Cerrato,Valladolid
49322,Palacios de Sanabria,Rosinos de la Requejada,Zamora
49341,Muelas de los Caballeros,Espadañedo,Zamora
50257,Gotor,Gotor,Zaragoza
2215,Villatoya,Villatoya,Albacete
2247,Cenizate,Cenizate,Albacete
2435,Socovos,Socovos,Albacete
3580,Alfàs del Pi,Alfàs del Pi,Alicante
5278,Tiemblo,Tiemblo,Ávila
5357,Grandes y San Martín,Bularros,Ávila
6940,Ahillones,Ahillones,Badajoz
8733,Subirats,Subirats,Barcelona
9344,Villafruela,Royuela de Río Franco,Burgos
9566,Espinosa de los Monteros,Espinosa de los Monteros,Burgos
10134,Campo Lugar,Campo Lugar,Cáceres
10310,Talayuela,Talayuela,Cáceres
10650,Ahigal,Ahigal,Cáceres
11639,Arcos de la Frontera,Jerez de la Frontera,Cádiz
13670,Villarrubia de los Ojos,Villarrubia de los Ojos,Ciudad Real
14815,Priego de Córdoba,Priego de Córdoba,Córdoba
15171,Oleiros,Oleiros,A Coruña
15569,Cerdido,Cerdido,A Coruña
15596,Narón,Narón,A Coruña
16191,Fuentenava de Jábaga,Cuenca,Cuenca
17190,Salt,Salt,Gerona
17750,Capmany,Capmany,Gerona
17830,Sant Ferriol,Mieres,Gerona
17843,Palol de Revardit,Palol de Revardit,Gerona
19245,Pálmaces de Jadraque,Cendejas de Enmedio,Guadalajara
23264,Chiclana de Segura,Chiclana de Segura,Jaén
23270,Sorihuela del Guadalimar,Sorihuela del Guadalimar,Jaén
23315,Villacarrillo,Villacarrillo,Jaén
24004,León,León,León
24151,Santa Colomba de Curueño,Santa Colomba de Curueño,León
24218,Mansilla de las Mulas,Valdepolo,León
24743,Encinedo,Encinedo,León
24744,Encinedo,Encinedo,León
25120,Alfarràs,Alfarràs,Lérida
25286,Pinell de Solsonès,Bassella,Lérida
25738,Isona i Conca Dellà,Isona i Conca Dellà,Lérida
26135,Cabezón de Cameros,Laguna de Cameros,La Rioja
26512,Tudelilla,Tudelilla,La Rioja
27417,Monforte de Lemos,Monforte de Lemos,Lugo
27824,Xermade,Xermade,Lugo
28851,Torrejón de Ardoz,Torrejón de Ardoz,Madrid
29002,Málaga,Málaga,Málaga
30367,Cartagena,Cartagena,Murcia
30590,Murcia,Murcia,Murcia
31210,Arcos,Arcos,Navarra
31330,Villafranca,Villafranca,Navarra
32644,Porqueira,Porqueira,Ourense
32680,Cualedro,Cualedro,Ourense
33780,Valdés,Valdés,Asturias
34219,Vertavillo,Población de Cerrato,Palencia
36658,Portas,Portas,Pontevedra
37217,Villar de Samaniego,Valsalabroso,Salamanca
37258,Vilvestre,Vilvestre,Salamanca
37312,Alaraz,Alaraz,Salamanca
37490,Pitiegua,Cabezabellosa de la Calzada,Salamanca
37793,Béjar,Béjar,Salamanca
38728,Garafía,Garafía,Santa Cruz de Tenerife
39613,Astillero,Astillero,Cantabria
40541,Honrubia de la Cuesta,Villaverde de Montejo,Segovia
40567,Pajarejos,Pajarejos,Segovia
42216,Coscurita,Baraona,Soria
42317,Talveila,Valdemaluque,Soria
42342,San Esteban de Gormaz,San Esteban de Gormaz,Soria
43593,Paüls,Paüls,Tarragona
43717,Bisbal del Penedès,Bisbal del Penedès,Tarragona
43718,Montmell,Albinyana,Tarragona
44730,Pancrudo,Pancrudo,Teruel
46133,Meliana,Meliana,Valencia
46649,Mogente/Moixent,Mogente/Moixent,Valencia
49694,Manganeses de la Polvorosa,Manganeses de la Polvorosa,Zamora
49871,Villardondiego,Villardondiego,Zamora
50019,Zaragoza,Zaragoza,Zaragoza
50213,Cimballa,Nuévalos,Zaragoza
50490,Villadoz,Villadoz,Zaragoza
50615,Valpalmas,Luna,Zaragoza
1009,Vitoria-Gasteiz,Vitoria-Gasteiz,Álava
2436,Férez,Férez,Albacete
2439,Elche de la Sierra,Elche de la Sierra,Albacete
3350,Granja de Rocamora,Granja de Rocamora,Alicante
3720,Benissa,Benissa,Alicante
4616,Cuevas del Almanzora,Cuevas del Almanzora,Almería
8036,Barcelona,Barcelona,Barcelona
9191,Villayerno Morquillas,Valle de las Navas,Burgos
11393,Tarifa,Tarifa,Cádiz
13140,Fernán Caballero,Miguelturra,Ciudad Real
13431,Villar del Pozo,Villar del Pozo,Ciudad Real
14710,Córdoba,Córdoba,Córdoba
15174,Culleredo,Culleredo,A Coruña
15176,Oleiros,Oleiros,A Coruña
15379,Curtis,Curtis,A Coruña
16200,Motilla del Palancar,Motilla del Palancar,Cuenca
17002,Girona,Girona,Gerona
17133,Serra de Daró,Foixà,Gerona
17210,Palafrugell,Palafrugell,Gerona
17462,Bordils,Sant Martí Vell,Gerona
18814,Cortes de Baza,Cortes de Baza,Granada
19119,Sayatón,Albalate de Zorita,Guadalajara
19444,Zaorejas,Zaorejas,Guadalajara
22160,Sotonera,Sotonera,Huesca
22375,Fanlo,Fanlo,Huesca
22808,Peñas de Riglos,Peñas de Riglos,Huesca
25150,Artesa de Lleida,Artesa de Lleida,Lérida
25572,Vall de Cardós,Vall de Cardós,Lérida
27569,Monterroso,Monterroso,Lugo
27611,Paradela,Paradela,Lugo
28693,Quijorna,Quijorna,Madrid
29640,Mijas,Mijas,Málaga
29718,Almáchar,Vélez-Málaga,Málaga
30369,Unión,Cartagena,Murcia
30740,San Pedro del Pinatar,San Pedro del Pinatar,Murcia
31151,Obanos,Obanos,Navarra
32200,Cortegada,Cortegada,Ourense
32336,Barco de Valdeorras,Barco de Valdeorras,Ourense
32610,Riós,Riós,Ourense
32778,San Xoán de Río,San Xoán de Río,Ourense
33171,Oviedo,Oviedo,Asturias
33428,Llanera,Llanera,Asturias
34477,Villanuño de Valdavia,Loma de Ucieza,Palencia
35002,Palmas de Gran Canaria,Palmas de Gran Canaria,Las Palma
35530,Teguise,Teguise,Las Palma
36540,Silleda,Silleda,Pontevedra
37130,Villarmayor,Tabera de Abajo,Salamanca
38470,Silos,Silos,Santa Cruz de Tenerife
38620,San Miguel de Abona,San Miguel de Abona,Santa Cruz de Tenerife
40122,Santa María la Real de Nieva,Santa María la Real de Nieva,Segovia
43513,Rasquera,Rasquera,Tarragona
43763,Nou de Gaià,Vespella de Gaià,Tarragona
44162,Peralejos,Teruel,Teruel
44562,Castellote,Castellote,Teruel
44579,Foz-Calanda,Foz-Calanda,Teruel
44590,Azaila,Azaila,Teruel
46197,Alfarp,Alfarp,Valencia
46469,Beniparrell,Beniparrell,Valencia
46750,Simat de la Valldigna,Simat de la Valldigna,Valencia
46844,Otos,Otos,Valencia
47110,Casasola de Arión,Casasola de Arión,Valladolid
47464,Nueva Villa de las Torres,Nueva Villa de las Torres,Valladolid
48013,Bilbao,Bilbao,Vizcaya
49137,Villarrín de Campos,Villafáfila,Zamora
49346,Espadañedo,Espadañedo,Zamora
49698,Burganes de Valverde,Villanázar,Zamora
49719,Villamor de los Escuderos,Villamor de los Escuderos,Zamora
49722,Perdigón,Perdigón,Zamora
51002,Ceuta,Ceuta,CEUTA
1440,Urkabustaiz,Urkabustaiz,Álava
2100,Tarazona de la Mancha,Tarazona de la Mancha,Albacete
4279,Sorbas,Sorbas,Almería
5130,Solosancho,Solosancho,Ávila
6173,Nogales,Nogales,Badajoz
8782,Sant Llorenç d'Hortons,Sant Llorenç d'Hortons,Barcelona
8917,Badalona,Badalona,Barcelona
11001,Cádiz,Cádiz,Cádiz
11207,Algeciras,Algeciras,Cádiz
12135,Vistabella del Maestrazgo,Vistabella del Maestrazgo,Castellón
13220,Llanos del Caudillo,Llanos del Caudillo,Ciudad Real
13432,Ballesteros de Calatrava,Ballesteros de Calatrava,Ciudad Real
13471,Almodóvar del Campo,Almodóvar del Campo,Ciudad Real
15002,Coruña,Coruña,A Coruña
17250,Castell-Platja d'Aro,Castell-Platja d'Aro,Gerona
17534,Queralbs,Ribes de Freser,Gerona
17861,Ogassa,Ogassa,Gerona
19276,Romanillos de Atienza,Atienza,Guadalajara
22110,Salillas,Sesa,Huesca
22511,Binaced,Binaced,Huesca
23180,Fuerte del Rey,Fuerte del Rey,Jaén
23689,Alcalá la Real,Alcalá la Real,Jaén
24290,Santa Cristina de Valmadrigal,Santa Cristina de Valmadrigal,León
24391,Santovenia de la Valdoncina,Chozas de Abajo,León
25556,Pont de Suert,Tremp,Lérida
26190,Nalda,Nalda,La Rioja
26223,Hormilleja,Hormilleja,La Rioja
26329,Viniegra de Arriba,Mansilla de la Sierra,La Rioja
27204,Palas de Rei,Palas de Rei,Lugo
27568,Monterroso,Monterroso,Lugo
27865,Ourol,Ourol,Lugo
28300,Aranjuez,Aranjuez,Madrid
28439,Alpedrete,Alpedrete,Madrid
31394,Pueyo,Pueyo,Navarra
31809,Olazti/Olazagutía,Ziordia,Navarra
32456,Punxín,Punxín,Ourense
32535,Irixo,Irixo,Ourense
32646,Calvos de Randín,Calvos de Randín,Ourense
32689,Cualedro,Cualedro,Ourense
33329,Colunga,Colunga,Asturias
33670,Aller,Aller,Asturias
33867,Salas,Salas,Asturias
37621,Cereceda de la Sierra,Cabaco,Salamanca
38686,Guía de Isora,Guía de Isora,Santa Cruz de Tenerife
38768,Llanos de Aridane,Llanos de Aridane,Santa Cruz de Tenerife
39588,Camaleño,Camaleño,Cantabria
42158,Duruelo de la Sierra,Duruelo de la Sierra,Soria
42210,Barca,Velamazán,Soria
42351,San Esteban de Gormaz,Burgo de Osma-Ciudad de Osma,Soria
43519,Perelló,Perelló,Tarragona
43718,Masllorenç,Albinyana,Tarragona
43882,Calafell,Calafell,Tarragona
44163,Perales del Alfambra,Perales del Alfambra,Teruel
45531,Carmena,Carmena,Toledo
46130,Valencia,Valencia,Valencia
46353,Requena,Requena,Valencia
46712,Piles,Piles,Valencia
47180,Villafuerte,Villafuerte,Valladolid
49540,Ferreruela,Olmillos de Castro,Zamora
50368,Cerveruela,Mainar,Zaragoza
50514,Tarazona,Tarazona,Zaragoza
2142,Liétor,Liétor,Albacete
5260,Cebreros,Cebreros,Ávila
5560,Amavida,Vadillo de la Sierra,Ávila
5691,Solana de Ávila,Solana de Ávila,Ávila
6194,Badajoz,Badajoz,Badajoz
8699,Fígols,Vallcebre,Barcelona
8805,Sabadell,Sabadell,Barcelona
8924,Santa Coloma de Gramenet,Santa Coloma de Gramenet,Barcelona
9572,Valle de Valdebezana,Alfoz de Bricia,Burgos
10630,Pinofranqueado,Pinofranqueado,Cáceres
11006,Cádiz,Cádiz,Cádiz
11670,Bosque,Bosque,Cádiz
11691,Torre Alháquime,Torre Alháquime,Cádiz
12002,Castellón de la Plana/Castelló de la Plana,Castellón de la Plana/Castelló de la Plana,Castellón
12330,Traiguera,Traiguera,Castellón
15702,Santiago de Compostela,Santiago de Compostela,A Coruña
15881,Vedra,Vedra,A Coruña
18311,Loja,Loja,Granada
19185,Valdenuño Fernández,Casar,Guadalajara
19248,Hita,Hita,Guadalajara
20268,Altzo,Tolosa,Guipúzcoa
20720,Azkoitia,Azkoitia,Guipúzcoa
22135,Argavieso,Alcalá del Obispo,Huesca
23294,Segura de la Sierra,Santiago-Pontones,Jaén
24253,Valdefuentes del Páramo,Valdefuentes del Páramo,León
25571,Esterri de Cardós,Vall de Cardós,Lérida
25590,Baix Pallars,Baix Pallars,Lérida
27290,Lugo,Lugo,Lugo
27333,Pobra do Brollón,Pobra do Brollón,Lugo
27440,Sober,Sober,Lugo
27532,Carballedo,Carballedo,Lugo
27778,Valadouro,Valadouro,Lugo
28009,Madrid,Madrid,Madrid
28749,Pinilla del Valle,Rascafría,Madrid
28810,Villalbilla,Villalbilla,Madrid
29490,Benarrabá,Cortes de la Frontera,Málaga
30588,Murcia,Murcia,Murcia
31170,Cendea de Olza/Oltza Zendea,Iza/Itza,Navarra
32794,San Xoán de Río,Castro Caldelas,Ourense
33201,Gijón,Gijón,Asturias
36130,Cerdedo,Cerdedo,Pontevedra
36654,Caldas de Reis,Caldas de Reis,Pontevedra
36817,Redondela,Redondela,Pontevedra
36876,Covelo,Mondariz,Pontevedra
36876,Mondariz,Mondariz,Pontevedra
36892,Ponteareas,Ponteareas,Pontevedra
37497,Alameda de Gardón,Villar de la Yegua,Salamanca
39197,Argoños,Santoña,Cantabria
39315,Torrelavega,Torrelavega,Cantabria
39558,Rionansa,Cabuérniga,Cantabria
39707,Castro-Urdiales,Castro-Urdiales,Cantabria
42223,Morón de Almazán,Coscurita,Soria
43370,Palma d'Ebre,Palma d'Ebre,Tarragona
45122,Argés,Argés,Toledo
45220,Yeles,Yeles,Toledo
45513,Santa Cruz del Retamar,Santa Cruz del Retamar,Toledo
45517,Escalonilla,Escalonilla,Toledo
45611,Parrillas,Parrillas,Toledo
45634,Buenaventura,Buenaventura,Toledo
45645,Hinojosa de San Vicente,Hinojosa de San Vicente,Toledo
46003,Valencia,Valencia,Valencia
46110,Godella,Godella,Valencia
47164,San Miguel del Arroyo,San Miguel del Arroyo,Valladolid
47420,Íscar,Íscar,Valladolid
47451,Olmedo,Olmedo,Valladolid
48006,Bilbao,Bilbao,Vizcaya
49350,Galende,Galende,Zamora
49357,Robleda-Cervantes,Robleda-Cervantes,Zamora
49563,Villardeciervos,Villardeciervos,Zamora
50151,Luesma,Luesma,Zaragoza
3071,Elche/Elx,Elche/Elx,Alicante
4857,Albánchez,Albánchez,Almería
5132,Hoyos de Miguel Muñoz,San Martín del Pimpollar,Ávila
5146,Blascomillán,Mancera de Arriba,Ávila
6200,Almendralejo,Almendralejo,Badajoz
7740,Mercadal,Mercadal,Baleares
8700,Igualada,Igualada,Barcelona
9123,Sasamón,Sasamón,Burgos
9318,Nava de Roa,Nava de Roa,Burgos
9348,Solarana,Lerma,Burgos
9592,Rublacedo de Abajo,Poza de la Sal,Burgos
9611,Carazo,Hacinas,Burgos
9645,Torrelara,Torrelara,Burgos
10210,Madroñera,Madroñera,Cáceres
10671,Plasencia,Plasencia,Cáceres
11500,Puerto de Santa María,Jerez de la Frontera,Cádiz
16441,Huete,Huete,Cuenca
17120,Pera,Pera,Gerona
17200,Palafrugell,Palafrugell,Gerona
17500,Ripoll,Ripoll,Gerona
18012,Granada,Granada,Granada
18200,Maracena,Maracena,Granada
18610,Salobreña,Salobreña,Granada
19278,Prádena de Atienza,Atienza,Guadalajara
21291,Galaroza,Nava,Huelva
22650,Panticosa,Panticosa,Huesca
23297,Santiago-Pontones,Santiago-Pontones,Jaén
23510,Torreblascopedro,Torreblascopedro,Jaén
23712,Jabalquinto,Jabalquinto,Jaén
24429,Peranzanes,Fabero,León
24738,Truchas,Truchas,León
25190,Lleida,Lleida,Lérida
25214,Estaràs,Cervera,Lérida
25555,Sarroca de Bellera,Senterada,Lérida
25748,Cabanabona,Oliola,Lérida
26559,Aldeanueva de Ebro,Aldeanueva de Ebro,La Rioja
27332,Pobra do Brollón,Pobra do Brollón,Lugo
27570,Antas de Ulla,Antas de Ulla,Lugo
27654,Navia de Suarna,Navia de Suarna,Lugo
27663,Navia de Suarna,Navia de Suarna,Lugo
28039,Madrid,Madrid,Madrid
28490,Becerril de la Sierra,Becerril de la Sierra,Madrid
29738,Rincón de la Victoria,Rincón de la Victoria,Málaga
31252,Berbinzana,Berbinzana,Navarra
31314,Santacara,Santacara,Navarra
32693,Sandiás,Sandiás,Ourense
37874,Garcihernández,Gajates,Salamanca
38280,Tegueste,Tegueste,Santa Cruz de Tenerife
38356,Tacoronte,Tacoronte,Santa Cruz de Tenerife
39360,Santillana del Mar,Suances,Cantabria
39511,Cabuérniga,Cabuérniga,Cantabria
43440,Espluga de Francolí,Espluga de Francolí,Tarragona
43560,Sénia,Sénia,Tarragona
43813,Valls,Valls,Tarragona
44162,Teruel,Teruel,Teruel
47350,Quintanilla de Onésimo,Quintanilla de Onésimo,Valladolid
